Country or region,Score,GDP per capita,Social support,Healthy life expectancy
Afghanistan,3.6,0.3,0.5,0.3
Botswana,3.6,1,1.2,0.4
Malawi,3.6,0.2,0.5,0.3
Haiti,3.6,0.3,0.7,0.3
Liberia,3.5,0.1,0.9,0.3
Syria,3.5,0.7,0.4,0.5
Rwanda,3.4,0.3,0.9,0.4
Yemen,3.4,0.4,1.1,0.3
Tanzania,3.3,0.5,1,0.4
South Sudan,3.3,0.3,0.6,0.2
Burundi,2.9,0.1,0.6,0.1
